time_from_event_s,filtered_strain
-12.00009775,-7.225810473437e-23
-11.98032236,1.587293330518e-22
-11.96030283,1.928183004581e-23
-11.9402833,1.646456729908e-22
-11.92026377,-8.435057003181e-23
-11.90024424,9.981393159549e-23
-11.8802247,8.862967587129e-24
-11.86020517,-7.819434073766e-23
-11.84018564,-7.228051761182e-23
-11.82016611,3.130767740085e-24
-11.80014658,-1.522270292017e-23
-11.78012705,1.103283006470e-23
-11.76010752,-6.061236021887e-23
-11.74008799,-1.645371186763e-22
-11.72006845,-1.567732056343e-22
-11.70004892,-5.331518703445e-23
-11.68002939,-1.751641195571e-22
-11.66000986,-1.070362679123e-22
-11.63999033,1.476224352310e-23
-11.6199708,2.952503891463e-23
-11.59995127,1.059568463023e-22
-11.57993174,3.266744613899e-23
-11.5599122,1.725313855520e-23
-11.53989267,2.627929465652e-23
-11.51987314,-6.995223054965e-24
-11.49985361,8.581107264145e-23
-11.47983408,2.628047797037e-24
-11.45981455,-1.686584331495e-22
-11.43979502,-7.404316056687e-23
-11.41977549,-1.883154317049e-22
-11.39975595,-3.454541183097e-23
-11.37973642,-4.396295552354e-23
-11.35971689,-1.772781606603e-23
-11.33969736,8.695303519707e-23
-11.31967783,-2.811919323431e-23
-11.2996583,-2.577224649802e-22
-11.27963877,2.324511238060e-22
-11.25961924,-9.822434728802e-23
-11.2395997,-1.019387201410e-22
-11.21958017,4.214696825933e-24
-11.19956064,2.348666541039e-23
-11.17954111,5.793258724819e-23
-11.15952158,-7.179992349433e-23
-11.13950205,-1.338343430442e-22
-11.11948252,-1.124755036342e-22
-11.09946299,7.057289923654e-24
-11.07944345,6.145336970109e-23
-11.05942392,1.001703431880e-22
-11.03940439,-2.897833668607e-22
-11.01938486,1.853552459685e-22
-10.99936533,-3.139379357419e-23
-10.9793458,-1.973965875419e-22
-10.95932627,1.442471841789e-22
-10.93930674,7.216210995244e-23
-10.9192872,6.549395347286e-23
-10.89926767,5.008187141319e-23
-10.87924814,-3.755177727109e-23
-10.85922861,3.763376430414e-23
-10.83920908,-1.864810719255e-22
-10.81918955,2.402134552122e-22
-10.79917002,-1.420307207375e-22
-10.77915049,2.101451632242e-22
-10.75913095,-1.617615203062e-22
-10.73911142,-6.558525805716e-24
-10.71909189,9.133646630636e-23
-10.69907236,-9.364525016083e-23
-10.67905283,2.235706814458e-22
-10.6590333,1.045629260024e-22
-10.63901377,1.190904391447e-22
-10.61899424,8.988997070389e-23
-10.5989747,1.293844574648e-22
-10.57895517,-5.692498440758e-23
-10.55893564,-1.180015788905e-22
-10.53891611,7.011037279143e-23
-10.51889658,3.548608424915e-23
-10.49887705,-9.753386552022e-25
-10.47885752,4.473535305460e-23
-10.45883799,1.042740988300e-22
-10.43881845,-5.490936985628e-23
-10.41879892,1.285633330862e-22
-10.39902353,1.002548430004e-22
-10.379004,1.712680887860e-22
-10.35898447,8.217394749040e-23
-10.33896494,-3.118455924280e-23
-10.31894541,4.287023117518e-23
-10.29892588,1.750802047374e-22
-10.27890635,5.625613245871e-23
-10.25888681,-1.675301275909e-22
-10.23886728,-1.280016234568e-23
-10.21884775,2.436324177777e-22
-10.19882822,-8.518803715427e-23
-10.17880869,9.937789898960e-23
-10.15878916,1.839774421520e-22
-10.13876963,1.629280588853e-22
-10.1187501,1.822955879818e-22
-10.09873056,1.545981676543e-22
-10.07871103,-2.718046763226e-22
-10.0586915,-1.055770668402e-22
-10.03867197,-9.911416724905e-23
-10.01865244,5.624914175088e-23
-9.99863291,-1.014966008557e-22
-9.97861338,1.743830030860e-22
-9.95859385,8.483108343302e-23
-9.93857431,-7.847281444932e-23
-9.91855478,5.031882077738e-23
-9.89853525,4.772411030307e-23
-9.87851572,-2.711203274698e-22
-9.85849619,1.824469916054e-22
-9.83847666,5.132819864889e-23
-9.81845713,8.983396477336e-23
-9.7984376,1.700995426861e-22
-9.77841806,5.225088885127e-23
-9.75839853,-1.084455888155e-22
-9.738379,-1.747372636793e-22
-9.71835947,-3.776840448639e-23
-9.69833994,4.285602384806e-23
-9.67832041,-9.304781602645e-23
-9.65830088,8.062789635754e-23
-9.63828135,4.838143379552e-23
-9.61826181,1.842188019873e-22
-9.59824228,4.557012168362e-23
-9.57822275,9.018922015685e-23
-9.55820322,1.237977977286e-22
-9.53818369,1.376036040042e-22
-9.51816416,6.725328921194e-23
-9.49814463,3.343244733336e-22
-9.4781251,-1.215991239327e-22
-9.45810556,-1.309296949500e-22
-9.43808603,-1.761326114466e-22
-9.4180665,-1.426897732305e-22
-9.39804697,-1.491860857838e-22
-9.37802744,-1.279835498230e-23
-9.35800791,1.724713484099e-22
-9.33798838,-1.315452500461e-22
-9.31796885,-9.428619292424e-23
-9.29794931,5.544925891101e-23
-9.27792978,-9.464117385850e-23
-9.25791025,6.783182773721e-23
-9.23789072,5.158015186881e-23
-9.21787119,1.113736601787e-22
-9.19785166,6.948665793419e-23
-9.17783213,-4.349146680885e-23
-9.1578126,-2.432898867924e-23
-9.13779306,-9.864740063153e-23
-9.11777353,-8.994923931476e-23
-9.097754,2.625204564628e-22
-9.07773447,-6.061011684397e-23
-9.05771494,1.961037723224e-22
-9.03769541,7.675462489438e-23
-9.01767588,1.095067746784e-22
-8.99765635,-7.954400368546e-23
-8.97763681,-1.594611687942e-23
-8.95761728,2.437807547255e-22
-8.93759775,-1.111772422629e-22
-8.91757822,-3.159823480681e-23
-8.89755869,-1.595656724175e-22
-8.87753916,-1.033962496647e-22
-8.85751963,1.475942119564e-23
-8.8375001,-1.091964373848e-22
-8.81748056,-2.552873128766e-22
-8.79770517,-4.022405806256e-23
-8.77768564,2.195917739807e-22
-8.75766611,-4.578516003882e-23
-8.73764658,-1.011484850436e-23
-8.71762705,4.029145768398e-23
-8.69760752,1.508988016148e-22
-8.67758799,2.524596159887e-23
-8.65756845,-1.508459663603e-24
-8.63754892,1.239575600376e-22
-8.61752939,-1.670277930847e-22
-8.59750986,1.689206044762e-22
-8.57749033,-2.619837110842e-22
-8.5574708,-2.077696196174e-22
-8.53745127,2.128177428551e-23
-8.51743174,-4.718890260789e-23
-8.4974122,1.779232050421e-22
-8.47739267,-1.255672088923e-22
-8.45737314,2.254348261564e-22
-8.43735361,-8.073985385791e-23
-8.41733408,-1.245119321372e-22
